case_id,n_detections,runtime_s,peak_mem_gb,flag
subject001,10,10.99,0.8226,
subject002,8,24.61,0.4715,
subject003,5,38.88,1.2127,
subject004,11,17.23,0.6471,
subject005,8,21.30,0.6104,
subject006,4,35.60,0.7981,
subject007,6,7.83,0.5222,
subject008,5,43.59,1.1001,
subject009,5,13.90,0.7021,
subject010,4,19.54,0.7814,
subject011,10,11.25,0.6567,
subject012,9,17.61,0.9662,
subject013,5,15.32,0.9565,
subject014,8,17.67,0.9158,
subject015,8,14.69,1.0602,
subject016,17,7.86,0.4164,high_count:17
subject017,1,0.55,0.3452,
subject018,5,11.77,0.8211,
subject019,4,0.64,0.2952,
subject020,3,0.84,0.3961,
subject021,9,1.55,0.3219,
subject022,11,4.29,0.4712,
subject023,2,0.50,0.2925,
subject024,1,1.85,0.2770,
subject025,21,22.30,0.7233,high_count:21
