case,instance_id,status,gt_id,ostium_err_mm,ostium_x,ostium_y,ostium_z,radius_mm,path_length_mm,extent_mm,vesselness,mean_hu,radius_cv,mean_circularity,review_flag
case_19,branch_001,draft_match,branch_003,2.11,17.32,-181.55,303.28,2.8807,13.91,13.91,0.2423,472.5,0.2777,0.653,
case_19,branch_002,draft_match,branch_001,1.68,6.13,-174.87,283.1,1.5694,13.75,13.75,0.4236,357.7,0.1627,0.6514,
case_19,branch_003,draft_match,branch_002,1.06,12.88,-168.87,281.6,1.928,13.91,13.91,0.0953,412.4,0.2346,0.4466,
case_19,branch_004,extra,,,21.4,-176.98,260.25,1.419,7.72,4.5,0.3645,353.1,0.24,0.7054,
case_20,branch_001,draft_match,branch_004,2.5,11.9,-126.99,360.03,2.2158,13.91,13.91,0.0895,330.3,0.4323,0.6079,
case_20,branch_002,draft_match,branch_001,7.41,20.88,-143.91,343.62,1.7195,13.91,13.91,0.399,333.5,0.3921,0.842,
case_20,branch_003,draft_match,branch_002,1.74,10.99,-135.76,339.5,1.8288,12.9,12.9,0.4008,300.8,0.2659,0.7979,
case_21,branch_001,draft_match,branch_003,3.14,19.32,-165.68,414.78,2.0881,13.91,13.91,0.4491,499.6,0.2996,0.6866,
case_21,branch_002,extra,,,21.83,-146.14,412.65,1.4517,5.12,4.5,0.2266,350.6,0.2109,0.3112,
case_21,branch_003,draft_match,branch_002,1.96,35.68,-154.57,407.0,2.1211,13.91,13.91,0.4455,475.8,0.0404,0.8156,
case_21,branch_004,draft_match,branch_001,2.65,15.71,-159.99,403.68,2.3333,13.91,13.91,0.3107,470.7,0.2665,0.6755,
case_21,branch_005,extra,,,28.39,-151.16,374.75,1.6722,10.94,6.36,0.4167,344.2,0.1999,0.6269,
case_21,branch_006,extra,,,23.51,-155.51,358.44,2.1693,13.91,13.91,0.0094,464.1,0.4781,0.5881,likely_genuine_fp_near_zero_vesselness
case_21,branch_007,extra,,,25.51,-167.89,355.21,2.4293,13.91,13.91,0.3135,423.6,0.2185,0.5422,ambiguous_manual_review_do_not_auto_remove
case_21,branch_008,extra,,,28.72,-166.3,339.77,1.8893,13.5,13.5,0.4348,390.1,0.4118,0.6691,ambiguous_manual_review_do_not_auto_remove
case_21,branch_009,extra,,,12.71,-170.4,336.17,2.3191,13.91,13.91,0.2921,427.5,0.367,0.5436,ambiguous_manual_review_do_not_auto_remove
case_21,branch_010,extra,,,3.99,-157.38,324.5,1.6962,13.67,13.67,0.3196,377.8,0.2435,0.7497,
case_22,branch_001,extra,,,7.14,-120.61,403.1,1.3847,12.09,12.09,0.2563,183.6,0.2631,0.6342,singleton_unpaired_review_do_not_auto_remove
case_22,branch_002,extra,,,8.04,-128.41,350.9,1.5694,13.42,13.42,0.3158,163.0,0.3677,0.7623,
case_22,branch_003,extra,,,21.39,-143.22,348.24,1.5128,6.18,6.18,0.4266,163.0,0.5622,0.6644,
case_22,branch_004,draft_match,branch_005,2.17,16.21,-147.85,338.46,2.658,13.91,13.91,0.628,225.2,0.4117,0.7481,
case_22,branch_005,draft_match,branch_004,1.54,15.54,-149.65,323.66,4.1173,13.91,13.91,0.56,216.5,0.5073,0.7453,
case_22,branch_006,draft_match,branch_003,1.61,5.52,-144.14,314.84,2.5716,13.5,13.5,0.3154,196.8,0.351,0.6619,
case_22,branch_007,draft_match,branch_002,1.68,22.03,-140.2,308.54,2.1374,13.75,13.75,0.4619,194.1,0.2119,0.8207,draft_match_independent_of_008
case_22,branch_008,extra,,,16.77,-150.68,303.03,2.7532,13.91,13.91,0.157,153.8,0.3932,0.691,independent_extra_not_oversplit_of_007
case_22,branch_009,draft_match,branch_006,2.58,18.19,-153.81,252.38,1.7865,13.5,13.5,0.5073,186.6,0.5377,0.603,
case_22,branch_010,draft_match,branch_001,1.48,14.71,-161.34,242.6,2.1693,13.75,13.75,0.3832,170.0,0.1278,0.6176,
case_22,branch_011,extra,,,14.64,-162.61,209.6,1.5416,10.92,10.92,0.3852,182.5,0.4159,0.429,singleton_unpaired_review_do_not_auto_remove
case_23,branch_001,draft_match,branch_003,1.96,7.06,-144.07,263.29,2.1047,13.91,13.91,0.0,305.1,0.3123,0.6634,
