case,instance_id,status,gt_id,ostium_err_mm,ostium_x,ostium_y,ostium_z,radius_mm,path_length_mm,vesselness,mean_hu,radius_cv,mean_circularity,crop_path,verdict
case_19,branch_001,draft_match,branch_003,2.11,17.32,-181.55,303.28,2.8807,13.91,0.2423,472.5,0.2777,0.653,review/crops/case_19_branch_001.png,
case_19,branch_002,draft_match,branch_001,1.68,6.13,-174.87,283.1,1.5694,13.75,0.4236,357.7,0.1627,0.6514,review/crops/case_19_branch_002.png,
case_19,branch_003,draft_match,branch_002,1.06,12.88,-168.87,281.6,1.928,13.91,0.0953,412.4,0.2346,0.4466,review/crops/case_19_branch_003.png,
case_19,branch_004,extra,,,21.4,-176.98,260.25,1.419,7.72,0.3645,353.1,0.24,0.7054,review/crops/case_19_branch_004.png,
case_20,branch_001,draft_match,branch_004,2.5,11.9,-126.99,360.03,2.2158,13.91,0.0895,330.3,0.4323,0.6079,review/crops/case_20_branch_001.png,
case_20,branch_002,draft_match,branch_001,7.41,20.88,-143.91,343.62,1.7195,13.91,0.399,333.5,0.3921,0.842,review/crops/case_20_branch_002.png,
case_20,branch_003,draft_match,branch_002,1.74,10.99,-135.76,339.5,1.8288,12.9,0.4008,300.8,0.2659,0.7979,review/crops/case_20_branch_003.png,
case_21,branch_001,draft_match,branch_003,3.14,19.32,-165.68,414.78,2.0881,13.91,0.4491,499.6,0.2996,0.6866,review/crops/case_21_branch_001.png,
case_21,branch_002,draft_match,branch_002,1.96,35.68,-154.57,407.0,2.1211,13.91,0.4455,475.8,0.0404,0.8156,review/crops/case_21_branch_002.png,
case_21,branch_003,draft_match,branch_001,2.65,15.71,-159.99,403.68,2.3333,13.91,0.3107,470.7,0.2665,0.6755,review/crops/case_21_branch_003.png,
case_21,branch_004,extra,,,26.68,-150.82,387.5,1.5963,4.24,0.4052,316.1,0.2916,0.7194,review/crops/case_21_branch_004.png,
case_21,branch_005,extra,,,28.39,-151.16,374.75,1.6722,10.94,0.4167,344.2,0.1999,0.6269,review/crops/case_21_branch_005.png,
case_21,branch_006,extra,,,25.51,-167.89,355.21,2.231,13.91,0.3135,423.6,0.3371,0.5858,review/crops/case_21_branch_006.png,
case_21,branch_007,extra,,,28.72,-166.3,339.77,1.8893,13.5,0.4348,390.1,0.4118,0.6691,review/crops/case_21_branch_007.png,
case_21,branch_008,extra,,,12.71,-170.4,336.17,2.3191,13.91,0.2921,427.5,0.367,0.5436,review/crops/case_21_branch_008.png,
case_21,branch_009,extra,,,3.99,-157.38,324.5,1.6962,13.67,0.3196,377.8,0.2435,0.7497,review/crops/case_21_branch_009.png,
case_22,branch_001,extra,,,7.14,-120.61,403.1,1.3847,12.09,0.2563,183.6,0.2631,0.6342,review/crops/case_22_branch_001.png,
case_22,branch_002,extra,,,8.04,-128.41,350.9,1.5694,13.42,0.3158,163.0,0.3677,0.7623,review/crops/case_22_branch_002.png,
case_22,branch_003,extra,,,21.39,-143.22,348.24,1.5128,6.18,0.4266,163.0,0.5622,0.6644,review/crops/case_22_branch_003.png,
case_22,branch_004,draft_match,branch_005,2.17,16.21,-147.85,338.46,2.658,13.91,0.628,225.2,0.4117,0.7481,review/crops/case_22_branch_004.png,
case_22,branch_005,draft_match,branch_004,1.54,15.54,-149.65,323.66,4.1173,13.91,0.56,216.5,0.5073,0.7453,review/crops/case_22_branch_005.png,
case_22,branch_006,draft_match,branch_003,1.61,5.52,-144.14,314.84,2.5716,13.5,0.3154,196.8,0.351,0.6619,review/crops/case_22_branch_006.png,
case_22,branch_007,draft_match,branch_002,1.68,22.03,-140.2,308.54,2.1374,13.75,0.4619,194.1,0.2119,0.8207,review/crops/case_22_branch_007.png,
case_22,branch_008,extra,,,16.77,-150.68,303.03,2.7532,13.91,0.157,153.8,0.3932,0.691,review/crops/case_22_branch_008.png,
case_22,branch_009,draft_match,branch_006,2.58,18.19,-153.81,252.38,1.7865,13.5,0.5073,186.6,0.5377,0.603,review/crops/case_22_branch_009.png,
case_22,branch_010,draft_match,branch_001,1.48,14.71,-161.34,242.6,2.1693,13.75,0.3832,170.0,0.1278,0.6176,review/crops/case_22_branch_010.png,
case_22,branch_011,extra,,,14.64,-162.61,209.6,1.5416,10.92,0.3852,182.5,0.4159,0.429,review/crops/case_22_branch_011.png,
case_23,branch_001,draft_match,branch_001,5.81,12.14,-158.36,271.0,2.2158,4.74,0.1126,281.1,0.1849,0.6548,review/crops/case_23_branch_001.png,
case_23,branch_002,draft_match,branch_003,1.96,7.06,-144.07,263.29,2.1047,13.91,0.0,305.1,0.3123,0.6634,review/crops/case_23_branch_002.png,
subject025,branch_001,extra,,,12.46,-164.21,-1.12,4.1173,13.91,0.6202,463.8,0.5257,0.7507,review/crops/subject025_branch_001.png,
subject025,branch_002,extra,,,12.62,-123.02,-6.89,1.8695,8.82,0.4858,421.0,0.3402,0.5577,review/crops/subject025_branch_002.png,
subject025,branch_003,extra,,,7.24,-173.67,-8.97,2.3047,13.91,0.5875,452.8,0.2762,0.6305,review/crops/subject025_branch_003.png,
subject025,branch_004,extra,,,14.09,-143.66,-13.79,1.7647,12.73,0.4048,353.2,0.3269,0.5939,review/crops/subject025_branch_004.png,
subject025,branch_005,extra,,,28.15,-117.6,-31.6,4.996,13.91,0.0747,508.3,0.5299,0.9228,review/crops/subject025_branch_005.png,
