case_id,internal_id,contact_spread_mm,end_cos,waist_mm,end_radius_mm,waist_ratio,mean_turn_deg,max_turn_deg,turn_concentration,top15_turn_share,verdict
subject025,id44,41.44,0.563,1.5,1.5,1.0,44.69,136.22,3.05,0.362,
subject018,id26,27.94,0.238,1.5,4.65,0.322,66.52,158.75,2.39,0.344,
case_20,id7,23.74,0.579,1.5,1.62,0.923,43.1,120.0,2.78,0.398,
subject018,id1,154.05,0.943,1.5,1.67,0.9,84.7,169.78,2.0,0.277,
subject008,id18,72.97,0.966,0.65,0.78,0.825,74.03,165.8,2.24,0.269,
subject001,id1,43.79,0.98,0.78,0.83,0.937,88.35,137.78,1.56,0.237,
subject007,id18,23.04,0.812,0.8,0.84,0.951,69.7,150.48,2.16,0.306,
subject003,id1,58.24,0.989,0.73,0.78,0.935,60.93,153.71,2.52,0.318,
subject024,id1,90.05,0.944,1.5,1.74,0.862,84.68,163.33,1.93,0.267,
subject016,id2,40.42,0.942,1.5,1.58,0.95,73.4,164.08,2.24,0.304,
