instance_id,ostium_x,ostium_y,ostium_z,side,dx_from_centroid_mm,radius_mm
branch_001,12.46,-164.21,-1.12,L,4.25,4.1173
branch_002,12.62,-123.02,-6.89,L,4.41,1.8695
branch_003,7.24,-173.67,-8.97,R,-0.97,2.3047
branch_004,4.15,-176.85,-9.1,R,-4.06,3.0566
branch_005,14.09,-143.66,-13.79,L,5.88,1.7647
branch_006,28.15,-117.6,-31.6,L,19.94,4.996
branch_007,-17.75,-165.6,-50.2,R,-25.96,1.8695
branch_008,6.89,-162.89,-51.88,R,-1.32,4.246
branch_009,10.15,-167.85,-57.85,L,1.94,2.746
branch_010,25.15,-116.85,-79.6,L,16.94,4.246
branch_011,20.09,-162.47,-80.83,L,11.88,2.0881
branch_012,11.57,-185.35,-88.77,L,3.36,1.4829
branch_013,10.46,-153.69,-89.06,L,2.25,3.673
branch_014,11.78,-168.79,-98.33,L,3.57,4.246
branch_015,-3.2,-173.99,-99.6,R,-11.42,2.9172
branch_016,8.65,-109.35,-114.1,L,0.44,2.3613
branch_017,3.8,-145.82,-188.05,R,-4.41,1.8288
branch_018,-0.48,-152.64,-209.04,R,-8.7,3.3828
branch_019,2.21,-141.68,-228.32,R,-6.0,1.9468
branch_020,-15.73,-144.91,-231.44,R,-23.95,2.4956
branch_021,-16.1,-140.85,-262.6,R,-24.31,2.1047
branch_022,-1.85,-151.03,-299.71,R,-10.06,1.2682
branch_023,-2.03,-152.53,-322.6,R,-10.25,1.5694
